CleanedRegulatedEntityId,RegulatedEntityId,CleanedRegulatedEntityName,PartyName,PartyId,Political Leaning,Special Interest
6756,6756,Jonathan Lord,Conservative And Unionist Party,52,Political Party,Great Britain
1048,1048,Jonathan Sayeed,Conservative And Unionist Party,52,Political Party,Great Britain
6890,6890,Joy Morrissey,Conservative And Unionist Party,52,Political Party,Great Britain
1157,1157,Julian Brazier,Conservative And Unionist Party,52,Political Party,Great Britain
4106,4106,Julian Knight,Conservative And Unionist Party,52,Political Party,Great Britain
1763,1763,Julian Smith,Conservative And Unionist Party,52,Political Party,Great Britain
1631,1631,Julian Sturdy,Conservative And Unionist Party,52,Political Party,Great Britain
1117,1117,Julie Kirkbride,Conservative And Unionist Party,52,Political Party,Great Britain
1782,1782,Justin Tomlinson,Conservative And Unionist Party,52,Political Party,Great Britain
2839,2839,Justine Greening,Conservative And Unionist Party,52,Political Party,Great Britain
2739,2739,Karen Bradley,Conservative And Unionist Party,52,Political Party,Great Britain
1579,1579,Karen Lumley,Conservative And Unionist Party,52,Political Party,Great Britain
4016,4016,Karl Mccartney,Conservative And Unionist Party,52,Political Party,Great Britain
1125,1125,Keith Simpson,Conservative And Unionist Party,52,Political Party,Great Britain
1270,1270,Kenneth Clarke,Conservative And Unionist Party,52,Political Party,Great Britain
1270,1271,Kenneth Clarke,Conservative And Unionist Party,52,Political Party,Great Britain
2831,2831,Kevin Foster,Conservative And Unionist Party,52,Political Party,Great Britain
9216,9216,Kieran Mullan,Conservative And Unionist Party,52,Political Party,Great Britain
1666,1666,Kris Hopkins,Conservative And Unionist Party,52,Political Party,Great Britain
1816,1816,Kwasi Kwarteng,Conservative And Unionist Party,52,Political Party,Great Britain
1943,1943,Laura Sandys,Conservative And Unionist Party,52,Political Party,Great Britain
1251,1251,Laurence Robertson,Conservative And Unionist Party,52,Political Party,Great Britain
6646,6646,Leo Docherty,Conservative And Unionist Party,52,Political Party,Great Britain
1035,1035,Liam Fox,Conservative And Unionist Party,52,Political Party,Great Britain
1035,1338,Liam Fox,Conservative And Unionist Party,52,Political Party,Great Britain
1486,1486,Lorraine Fullbrook,Conservative And Unionist Party,52,Political Party,Great Britain
2220,2220,Lucy Allan,Conservative And Unionist Party,52,Political Party,Great Britain
1480,1480,Maggie Throup,Conservative And Unionist Party,52,Political Party,Great Britain
1076,1076,Malcolm Moss,Conservative And Unionist Party,52,Political Party,Great Britain
1336,1336,Malcolm Rifkind,Conservative And Unionist Party,52,Political Party,Great Britain
1336,1602,Malcolm Rifkind,Conservative And Unionist Party,52,Political Party,Great Britain
7936,7936,Marcus Fysh,Conservative And Unionist Party,52,Political Party,Great Britain
1603,1603,Margot James,Conservative And Unionist Party,52,Political Party,Great Britain
1603,1679,Margot James,Conservative And Unionist Party,52,Political Party,Great Britain
4238,4238,Maria Caulfield,Conservative And Unionist Party,52,Political Party,Great Britain
1319,1319,Mark Field,Conservative And Unionist Party,52,Political Party,Great Britain
