Original RegulatedEntityId,RegulatedEntityId,OriginalRegulatedEntityName,RegulatedEntityName,RegisterName,RegulatedDoneeType,RegulatedEntityType,CleanedName,Status,PoliticalParty_pdpy
1926,1926,The Rt Hon Caroline Flint Mp,The Rt Hon Caroline Flint Mp,Great Britain,Members Association,Regulated Donee,Caroline Flint,The Rt Hon & Mp,Labour
1022,1022,The Rt Hon Charles Kennedy Mp,The Rt Hon Charles Kennedy Mp,Great Britain,Members Association,Regulated Donee,Charles Kennedy,The Rt Hon & Mp,Liberal Democrat
1349,1349,The Rt Hon Clare Short Mp,The Rt Hon Clare Short Mp,Great Britain,Members Association,Regulated Donee,Clare Short,The Rt Hon & Mp,Labour
1079,1079,The Rt Hon David Lammy Mp,The Rt Hon David Lammy Mp,Great Britain,Members Association,Regulated Donee,David Lammy,The Rt Hon & Mp,Labour
1624,1624,The Rt Hon David Miliband Mp,The Rt Hon David Miliband Mp,Great Britain,Members Association,Regulated Donee,David Miliband,The Rt Hon & Mp,Labour
1622,1622,The Rt Hon Edward Miliband Mp,The Rt Hon Edward Miliband Mp,Great Britain,Members Association,Regulated Donee,Edward Miliband,The Rt Hon & Mp,Labour
1381,1381,The Rt Hon Hazel Blears Mp,The Rt Hon Hazel Blears Mp,Great Britain,Members Association,Regulated Donee,Hazel Blears,The Rt Hon & Mp,Labour
1178,1178,The Rt Hon Hugh Robertson Mp,The Rt Hon Hugh Robertson Mp,Great Britain,Members Association,Regulated Donee,Hugh Robertson,The Rt Hon & Mp,Conservative
1542,1542,The Rt Hon John Prescott Mp,The Rt Hon John Prescott Mp,Great Britain,Members Association,Regulated Donee,John Prescott,The Rt Hon & Mp,Labour
1283,1283,Mr Andrew Rosindell Mp,Mr Andrew Rosindell Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Andrew Rosindell,Mr & Mp,Conservative
1798,1798,Mr Angus Macneil Mp,Mr Angus Macneil Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Angus Macneil,Mr & Mp,Unknown
1060,1060,Mr David Sumberg Mep,Mr David Sumberg Mep,Great Britain,MEP - Member of the European Parliament,Regulated Donee,David Sumberg,Mr & Mep,Unknown
1342,1342,Mr Denis Murphy Mp,Mr Denis Murphy Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Denis Murphy,Mr & Mp,Labour
2360,2360,Mr John Woodcock Mp,Mr John Woodcock Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,John Woodcock,Mr & Mp,Labour
1377,1377,Mr Jonathan Cruddas Mp,Mr Jonathan Cruddas Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Jonathan Cruddas,Mr & Mp,Labour
1428,1428,Mr Mark Adrian Clarke,Mr Mark Adrian Clarke,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Mark Adrian Clarke,Mr,Unknown
1645,1645,Mr Nick Boles Mp,Mr Nick Boles Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Nick Boles,Mr & Mp,Conservative
1438,1438,Ms Harriett Baldwin Mp,Ms Harriett Baldwin Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Harriett Baldwin,Ms & Mp,Conservative
1673,1673,Ms Rushanara Ali Mp,Ms Rushanara Ali Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Rushanara Ali,Ms & Mp,Labour
1330,1330,Ms Sarah Teather Mp,Ms Sarah Teather Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Sarah Teather,Ms & Mp,Liberal Democrat
1454,1454,Ms Siobhain Mcdonagh Mp,Ms Siobhain Mcdonagh Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Siobhain Mcdonagh,Ms & Mp,Unknown
2861,2861,Suella Fernandes Mp,Suella Fernandes Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Suella Fernandes,Mp,Unknown
1022,1022,The Rt Hon Charles Kennedy Mp,The Rt Hon Charles Kennedy Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Charles Kennedy,The Rt Hon & Mp,Liberal Democrat
1079,1079,The Rt Hon David Lammy Mp,The Rt Hon David Lammy Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,David Lammy,The Rt Hon & Mp,Labour
1590,1590,The Rt Hon David Miliband Mp,The Rt Hon David Miliband Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,David Miliband,The Rt Hon & Mp,Labour
1174,1174,The Rt Hon Denis Macshane Mp,The Rt Hon Denis Macshane Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Denis Macshane,The Rt Hon & Mp,Unknown
1115,1115,The Rt Hon George Osborne Mp,The Rt Hon George Osborne Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,George Osborne,The Rt Hon & Mp,Conservative
1389,1389,The Rt Hon Gordon Brown Mp,The Rt Hon Gordon Brown Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Gordon Brown,The Rt Hon & Mp,Unknown
1571,1571,The Rt Hon Greg Hands Mp,The Rt Hon Greg Hands Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Greg Hands,The Rt Hon & Mp,Conservative
1549,1549,The Rt Hon Gregory Barker Mp,The Rt Hon Gregory Barker Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Gregory Barker,The Rt Hon & Mp,Conservative
1386,1386,The Rt Hon Harriet Harman Qc Mp,The Rt Hon Harriet Harman Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Harriet Harman,The Rt Hon & Mp & Qc,Labour
1381,1381,The Rt Hon Hazel Blears Mp,The Rt Hon Hazel Blears Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Hazel Blears,The Rt Hon & Mp,Labour
1286,1286,The Rt Hon James Arbuthnot Mp,The Rt Hon James Arbuthnot Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,James Arbuthnot,The Rt Hon & Mp,Conservative
1542,1542,The Rt Hon John Prescott Mp,The Rt Hon John Prescott Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,John Prescott,The Rt Hon & Mp,Labour
1298,1298,The Rt Hon John Spellar Mp,The Rt Hon John Spellar Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,John Spellar,The Rt Hon & Mp,Labour
1372,1372,The Rt Hon Keith Vaz Mp,The Rt Hon Keith Vaz Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Keith Vaz,The Rt Hon & Mp,Labour
1271,1271,The Rt Hon Kenneth Clarke Qc Mp,The Rt Hon Kenneth Clarke Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Kenneth Clarke,The Rt Hon & Mp & Qc,Conservative
1270,1270,The Rt Hon Kenneth Clarke Qc Mp,The Rt Hon Kenneth Clarke Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Kenneth Clarke,The Rt Hon & Mp & Qc,Conservative
2321,2321,The Rt Hon Kevin Barron Mp,The Rt Hon Kevin Barron Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Kevin Barron,The Rt Hon & Mp,Labour
1541,1541,The Rt Hon Liam Byrne Mp,The Rt Hon Liam Byrne Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Liam Byrne,The Rt Hon & Mp,Labour
1578,1578,The Rt Hon Malcolm Wicks Mp,The Rt Hon Malcolm Wicks Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Malcolm Wicks,The Rt Hon & Mp,Labour
2093,2093,The Rt Hon Margaret Hodge Mp,The Rt Hon Margaret Hodge Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Margaret Hodge,The Rt Hon & Mp,Labour
1411,1411,The Rt Hon Mark Francois Mp,The Rt Hon Mark Francois Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Mark Francois,The Rt Hon & Mp,Conservative
1355,1355,The Rt Hon Mark Simmonds Mp,The Rt Hon Mark Simmonds Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Mark Simmonds,The Rt Hon & Mp,Conservative
1677,1677,The Rt Hon Matthew Hancock Mp,The Rt Hon Matthew Hancock Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Matthew Hancock,The Rt Hon & Mp,Conservative
1208,1208,The Rt Hon Michael Ancram Qc Mp,The Rt Hon Michael Ancram Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Michael Ancram,The Rt Hon & Mp & Qc,Conservative
1177,1177,The Rt Hon Michael Ancram Qc Mp,The Rt Hon Michael Ancram Qc Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Michael Ancram,The Rt Hon & Mp & Qc,Conservative
